surr_id,incident_id,quarter,school,city,state,school_level,location,situation,targets,barricade,officer_involved,bullied,domestic_violence,gang_related,preplanned,shots_fired,active_shooter_fbi,first_shot
450,19920501CALIO,Spring,Lindhurst High School,Olivehurst,CA,High,Hallway,Hostage/Standoff,Both,Yes,No,No,No,No,Yes,10,Yes,Unknown
451,19920514CASIN,Spring,Silverado Middle School,Napa,CA,Junior High,Classroom,Bullying,Unknown,No,No,Yes,No,No,Yes,2,Yes,8:15:00
452,19920514TXHUH,Spring,Huntsville Junior High School,Huntsville,TX,Junior High,Courtyard,Escalation of Dispute,Victims Targeted,No,No,No,No,No,No,1,Unknown,7:45:00
453,19920529CAVEL,Spring,Venice High School,Los Angeles,CA,High,Front of School,Drive-by Shooting,Victims Targeted,No,No,No,No,Yes,No,8,Unknown,Unknown
454,19920530DCARW,Spring,Archbishop Carroll High School,Washington,DC,High,Beside Building,Escalation of Dispute,Both,No,No,No,No,Unknown,No,15,No,23:50:00
455,19920606CAMEM,Summer,Merced High School,Merced,CA,High,Gym,Escalation of Dispute,Victims Targeted,No,No,No,No,No,No,1,Unknown,23:18:00
456,19920911TXPAA,Fall,Palo Duro High School,Amarillo,TX,High,Hallway,Escalation of Dispute,Both,No,No,No,No,No,No,6,Unknown,10:00:00
457,19920928CAHIS,Fall,Hiram Johnson High School,Sacramento,CA,High,Hallway,Racial,Victims Targeted,No,No,No,No,No,No,2,Unknown,15:10:00
469,19921124ALROM,Fall,Robert E. Lee High School,Montgomery,AL,High,Bathroom,Escalation of Dispute,Victims Targeted,No,No,No,No,No,No,1,Unknown,Unknown
470,19921130ILORC,Fall,Orr High School,Chicago,IL,High,Beside Building,Escalation of Dispute,Victims Targeted,No,No,No,No,No,No,10,Unknown,Unknown
472,19921214NYWAW,Winter,Walton High School,Walton,NY,High,Classroom,Anger Over Grade/Suspension/Discipline,Victims Targeted,No,No,No,No,No,No,1,Unknown,9:14:00
813,20041117FLAPA,Fall,Apopka Memorial Middle School,Apopka,FL,Middle,Classroom,Unknown,Neither,No,No,No,No,No,No,1,Unknown,Unknown
473,19930105NYBRB,Winter,Brentwood High School,Brentwood,NY,High,Gym,Escalation of Dispute,Victims Targeted,No,No,No,No,Yes,No,7,Unknown,17:27:00
